funcion,tipo_cruza,dim,tam_pob,generaciones,repeticion,semilla,mejor_final,peor_final,promedio_final,tiempo_total_seg
rastrigin,uniforme,10,100,1000,17,59,2.045234259639983e-05,40.756573695730864,11.64810861377793,1.9990763159999005
rastrigin,blx,10,100,1000,17,59,2.587796643638285e-10,44.72843658704852,8.56667539671769,1.972782622000068
rastrigin,sbx,10,100,1000,17,59,3.258623323176835e-05,37.84324952322408,10.206906392511774,1.9401923010000246
rosenbrock,un_punto,10,100,1000,17,59,6.795403419044708,70.33573284913066,25.819345188229576,1.7095887220002624
rosenbrock,uniforme,10,100,1000,17,59,8.871999325010997,94.87166597300273,32.03043629032066,2.0070043680002527
rosenbrock,blx,10,100,1000,17,59,6.60971878714899,70.21316442013665,27.623464731347386,1.9769269430003078
rosenbrock,sbx,10,100,1000,17,59,0.19566868325931464,122.13228451112217,20.315273172844755,1.9553907059998892
sphere,un_punto,10,100,1000,18,60,9.393519060881161e-07,2.0749721582681375,0.3046864594417252,1.1160270079999464
sphere,uniforme,10,100,1000,18,60,4.4339035344428605e-06,1.876149171890829,0.3975345303551855,1.4183791169998585
sphere,blx,10,100,1000,18,60,5.84612662588074e-10,1.6753665932225248,0.3355955315578065,1.3824111250000897
sphere,sbx,10,100,1000,18,60,2.496984519931817e-07,1.4493280652710285,0.3085352516625605,1.3666828330001408
rastrigin,un_punto,10,100,1000,18,60,0.00014941471113161242,36.30976500151745,8.437319254315593,1.7098337259999425
rastrigin,uniforme,10,100,1000,18,60,0.0003284467921389478,51.85247784833269,11.284872907438457,1.766996498000026
rastrigin,blx,10,100,1000,18,60,1.339387267762504e-09,34.57784148874828,7.418269257427979,1.3189261649999935
rastrigin,sbx,10,100,1000,18,60,4.9864164836321834e-05,33.5276097351821,9.086602855215412,1.290683474999696
rosenbrock,un_punto,10,100,1000,18,60,6.909203659566549,110.9200702686347,23.32067544166453,1.1542704339999545
rosenbrock,uniforme,10,100,1000,18,60,6.254822416364733,90.10332889350344,24.302056007089348,1.3414581300003192
rosenbrock,blx,10,100,1000,18,60,6.049169423660642,108.80998870868547,32.50693775250288,1.3414841109997724
rosenbrock,sbx,10,100,1000,18,60,6.021166300470403,73.75608398068624,17.24209637303612,1.3182027480002034
sphere,un_punto,10,100,1000,19,61,4.973852721248607e-06,1.0870166491161368,0.2547777367546607,0.7465609089999816
sphere,uniforme,10,100,1000,19,61,2.0567787274442073e-06,1.5670125924363052,0.3298266366217316,0.9429085890001261
sphere,blx,10,100,1000,19,61,2.1483944968787972e-10,1.8057725450713555,0.3830936125398125,0.9185523649998686
sphere,sbx,10,100,1000,19,61,4.5010846061543256e-07,1.4861905019351662,0.3345356141561785,0.912193722000211
rastrigin,un_punto,10,100,1000,19,61,0.00012867428382890012,39.806289154150555,9.315705634980883,1.1358650489996762
rastrigin,uniforme,10,100,1000,19,61,0.0007207634215120606,39.740185974553086,9.067802833308884,1.6621398449997287
rastrigin,blx,10,100,1000,19,61,8.541576335119316e-10,47.12507894169718,11.1243699676507,1.9738122939997993
rastrigin,sbx,10,100,1000,19,61,0.00021906664569826262,40.37182439437149,10.182908180990431,1.991078842999741
rosenbrock,un_punto,10,100,1000,19,61,4.44910568306675,83.29779518676733,20.400432287897797,1.7099356940002508
rosenbrock,uniforme,10,100,1000,19,61,9.313308337600548,71.288712861822,28.905459641406072,2.007744128000013
rosenbrock,blx,10,100,1000,19,61,5.287465065084377,114.27968368175809,29.960436067106233,1.9680054669997844
